"x","y","ymin","ymax","se"
2,31.7125008935704,29.0464969860562,34.3785048010847,1.36023106982747
3,31.5680692114608,28.9920211137416,34.14411730918,1.31433440514149
4,31.4237775974726,28.9318116432608,33.9157435516844,1.27143456403694
5,31.2796869507888,28.865979234544,33.6933946670337,1.231506157911
6,31.1358581705928,28.7949109005847,33.4768054406009,1.19438279910917
7,30.9923485088642,28.7191461746165,33.2655508431118,1.15981842124571
8,30.8491954906638,28.6390032777747,33.0593877035529,1.12766980940608
9,30.7064300020416,28.5546065440217,32.8582534600615,1.09788928520788
10,30.5640829240443,28.4659988204625,32.6621670276261,1.07047074340713
11,30.4221851377187,28.3731940080802,32.4711762673572,1.04542284746082
12,30.2807675241117,28.2762264977216,32.2853085505018,1.02274380662178
13,30.13986096427,28.1751945224505,32.1045274060894,1.00239925698458
14,29.9994963392403,28.0702941788664,31.9286984996142,0.984304903350886
15,29.8597045300696,27.9618409876607,31.7575680724785,0.968315518743696
16,29.7205164178046,27.8502764005785,31.5907564350306,0.954221624467734
17,29.581962883492,27.7361575545712,31.4277682124128,0.941754717678618
18,29.4440748081787,27.6201296013596,31.2680200149978,0.930601389212336
19,29.3068830729115,27.5028807834826,31.1108853623404,0.920426244389494
20,29.1704157899539,27.3850561538002,30.9557754261075,0.910914511815706
21,29.0346688844631,27.2669233569763,30.8024144119499,0.901927556542142
22,28.8996175157217,27.1484506872896,30.6507843441538,0.893468881186115
23,28.7652364969142,27.0295355412393,30.5009374525891,0.885577984782319
24,28.6315006412252,26.9100593219444,30.352941960506,0.878302526403195
25,28.4983847618392,26.789930139852,30.2068393838263,0.871676538682965
26,28.3658636719407,26.6691151337827,30.0626122100987,0.865703937185433
27,28.2339121847143,26.5476612669479,29.9201631024807,0.860347909995947
28,28.1025051133445,26.4257036533111,29.7793065733779,0.855526669499958
29,27.9716172710159,26.3034608022032,29.6397737398286,0.851115878644163
30,27.841223470913,26.1812165355762,29.5012304062497,0.846957876997063
31,27.7112985262203,26.0592885917965,29.3633084606442,0.842877699516254
32,27.5818172501225,25.9379839531951,29.2256505470499,0.838705869033179
