"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no","MST","occupancy","terrestrial","ODP","Lower","Median","Upper","Min","Max"
134,"int",1,5,"Hettangian","Het",43,"#4EB3D3",201.3,200.3,199.3,47900,1301.81,8,8,0,36.38,36.38,37.19,36.25,41.6
135,"int",1,5,"Rhaetian","Rha",44,"#E3B9DB",208.5,204.9,201.3,47900,101.57,2,2,0,27.58,27.76,27.76,27.49,28.12
136,"int",1,5,"Norian","Nor",44,"#D6AAD3",228,218.25,208.5,47900,8665.77,3,3,0,19.23,23.315,27.4,16.85,27.4
137,"int",1,5,"Carnian","Car",44,"#C99BCB",237,232.5,228,47900,1674.98,8,8,0,6.56,10.38,11.3,4.77,12.22
138,"int",1,5,"Ladinian","Lad",45,"#C983BF",242,239.5,237,47900,2889.52,6,6,0,17.13,17.13,17.19,1.96,18.06
139,"int",1,5,"Anisian","Ani",45,"#BC75B7",247.2,244.6,242,47900,7095.56,7,7,0,0.69,17.06,57.05,0.69,57.19
652,"int",1,5,"Olenekian","Ole",46,"#B051A5",251.2,249.2,247.2,47900,2416.4,4,4,0,57.115,57.31,57.31,40.48,58.87
653,"int",1,5,"Induan","Ind",46,"#A4469F",252.17,251.685,251.2,47900,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,"int",1,5,"Changhsingian","Cha",771,"#FCC0B2",254.17,253.17,252.17,9184,9219.42,7,7,0,3.72,3.72,3.72,1.66,31.5
716,"int",1,5,"Wuchiapingian","Wuc",771,"#FCB4A2",259.9,257.035,254.17,9184,12884.46,10,10,0,4,4.87,26.9,1.66,29.93
145,"int",1,5,"Capitanian","Cap",772,"#FB9A85",265.1,262.5,259.9,5954,15624.51,4,4,0,1.21,1.34,1.61,1.08,67.34
146,"int",1,5,"Wordian","Wor",772,"#FB8D76",268.8,266.95,265.1,5954,9447.98,3,3,0,0.42,18.675,36.4,0.42,36.48
717,"int",1,5,"Roadian","Roa",772,"#FB8069",272.3,270.55,268.8,9184,16319.85,6,6,0,0.16,18.33,33.95,0.03,40.12
148,"int",1,5,"Kungurian","Kun",773,"#E38776",279.3,275.8,272.3,5954,22113.68,16,16,0,11.82,23.3,24.49,0.1,40.03
149,"int",1,5,"Artinskian","Art",773,"#E37B68",290.1,284.7,279.3,5954,17192.45,22,22,0,0.95,7.31,9.32,0.1,47.65
150,"int",1,5,"Sakmarian","Sak",773,"#E36F5C",295.5,292.8,290.1,5954,22909.36,11,11,0,1.03,28.55,44.08,0.19,46.79
151,"int",1,5,"Asselian","Ass",773,"#E36350",298.9,297.2,295.5,5954,23287.26,13,13,0,1.85,22.9,45.43,0.68,45.99
49,"int",1,5,"Gzhelian","Gzh",27,"#CCD4C7",303.7,301.3,298.9,5954,11247.04,10,10,0,2.87,5.78,5.98,0.95,45.24
50,"int",1,5,"Kasimovian","Kas",27,"#BFD0C5",307,305.35,303.7,5954,8792.87,5,5,0,3.1,3.32,6.12,3.1,44.26
51,"int",1,5,"Moscovian","Mos",27,"#B3CBB9",315.2,311.1,307,5954,7733.88,12,12,0,42.76,42.92,43.5125,3.97,43.7
52,"int",1,5,"Bashkirian","Bas",27,"#99C2B6",323.2,319.2,315.2,5954,14374.53,19,19,0,3.01,3.49,19.265,2.04,42.25
53,"int",1,5,"Serpukhovian","Ser",28,"#BFC26B",330.9,327.05,323.2,5954,14240.25,17,17,0,1.05,6.43,17.19,0.05,39.75
54,"int",1,5,"Visean","Vis",28,"#A6B96C",346.7,338.8,330.9,5954,8803.63,20,20,0,6.7,7.28,9.32,0.05,39.11
55,"int",1,5,"Tournaisian","Tou",28,"#8CB06C",358.9,352.8,346.7,5954,9603.76,13,13,0,12.14,14.8,22.12,2.08,25.61
177,"int",1,5,"Famennian","Fam",56,"#F2EDC5",372.2,365.55,358.9,47900,25082.75,16,16,0,19.165,27.16,27.49,2.37,39.1
178,"int",1,5,"Frasnian","Fra",56,"#F2EDAD",382.7,377.45,372.2,47900,9913.99,16,16,0,18.69,30.16,30.16,16.38,44.76
179,"int",1,5,"Givetian","Giv",57,"#F1E185",387.7,385.2,382.7,47900,10834.09,11,11,0,22.86,37.91,46.95,20.46,47.39
180,"int",1,5,"Eifelian","Eif",57,"#F1D576",393.3,390.5,387.7,47900,10432.54,7,7,0,33.88,47.39,47.83,21.71,47.83
181,"int",1,5,"Emsian","Ems",58,"#E5D075",407.6,400.45,393.3,47900,9562.59,12,12,0,44.21,45.35,50.7,23.2,51.5
182,"int",1,5,"Pragian","Pra",58,"#E5C468",410.8,409.2,407.6,47900,7139.63,5,5,0,25.91,32.38,33.21,25.46,33.21
183,"int",1,5,"Lochkovian","Loc",58,"#E5B75A",419.2,415,410.8,47900,11516.28,8,8,0,15.1,15.22,21.79,15.03,26.56
3001,"int",1,5,"Pridoli","Pri",59,"#E6F5E1",423,421.1,419.2,47900,1561.67,10,10,0,10.4,12.8,14.86,10.2,15.03
184,"int",1,5,"Ludfordian","Lud",60,"#D9F0DF",425.6,424.3,423,47900,1879.39,6,6,0,10.82,12.34,15.4,10.5,16.02
185,"int",1,5,"Gorstian","Gor",60,"#CCECDD",427.4,426.5,425.6,47900,3246.5,3,3,0,11.29,11.29,17.38,11.29,23.01
785,"int",1,5,"Homerian","Hom",61,"#CCEBD1",430.5,428.95,427.4,47900,5519.21,9,9,0,12.22,16.8,23.37,12.22,26.55
188,"int",1,5,"Sheinwoodian","She",61,"#BFE6C3",433.4,431.95,430.5,47900,6237.92,10,10,0,14.57,18.94,20.04,13.59,26.32
189,"int",1,5,"Telychian","Tel",62,"#BFE6D1",438.5,435.95,433.4,47900,5470.62,6,6,0,4.22,4.44,16.55,3.77,20.99
190,"int",1,5,"Aeronian","Aer",62,"#B3E1C2",440.8,439.65,438.5,47900,0,1,1,0,3.54,3.54,3.54,3.54,3.54
191,"int",1,5,"Rhuddanian","Rhu",62,"#A6DCB5",443.4,442.1,440.8,47900,103.87,2,2,0,2.87,3.1,3.1,2.65,3.1
192,"int",1,5,"Hirnantian","Hir",29,"#A6DBAB",445.2,444.3,443.4,47900,22074.21,7,7,0,3.2,7.24,20.78,2.93,30.28
1008,"int",1,5,"Katian","Kat",29,"#99D69F",453,449.1,445.2,47900,16505.23,6,6,0,11.46,11.46,12.7025,11.12,29.93
